date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:32	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Sep%202021%2005:53:36%20GMT	https://prestigecity-sarjapur.in/robots.txt		(from )
18:45:33	227750/227750	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Apr%202022%2013:15:32%20GMT	https://prestigecity-sarjapur.in/	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/index.html	(from )
18:45:34	35279/35279	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2011:23:56%20GMT	https://prestigecity-sarjapur.in/assets/img/logo/favicon.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/logo/favicon.png	(from https://prestigecity-sarjapur.in/)
18:45:35	19636/19636	---M--	200	added ('OK')	font/woff2	date:Fri,%2002%20Jul%202021%2001:32:10%20GMT	https://prestigecity-sarjapur.in/assets/fonts/roboto-bold-webfont.woff2	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/fonts/roboto-bold-webfont.woff2	(from https://prestigecity-sarjapur.in/)
18:45:35	19336/19336	---M--	200	added ('OK')	font/woff2	date:Fri,%2002%20Jul%202021%2001:32:08%20GMT	https://prestigecity-sarjapur.in/assets/fonts/roboto-regular-webfont.woff2	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/fonts/roboto-regular-webfont.woff2	(from https://prestigecity-sarjapur.in/)
18:45:35	17396/17396	---M--	200	added ('OK')	font/woff2	date:Fri,%2002%20Jul%202021%2001:32:10%20GMT	https://prestigecity-sarjapur.in/assets/fonts/muli-variablefont_wght-webfont.woff2	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/fonts/muli-variablefont_wght-webfont.woff2	(from https://prestigecity-sarjapur.in/)
18:45:35	5232/5232	---M--	200	added ('OK')	font/woff2	date:Fri,%2002%20Jul%202021%2001:32:10%20GMT	https://prestigecity-sarjapur.in/assets/fonts/micon.woff2	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/fonts/micon.woff2	(from https://prestigecity-sarjapur.in/)
18:45:36	164699/164699	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jan%202022%2015:35:04%20GMT	https://prestigecity-sarjapur.in/assets/css/style-sm-1.css	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/css/style-sm-1.css	(from https://prestigecity-sarjapur.in/)
18:45:36	159498/159498	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jan%202022%2012:56:49%20GMT	https://prestigecity-sarjapur.in/assets/css/style-md-1.css	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/css/style-md-1.css	(from https://prestigecity-sarjapur.in/)
18:45:37	702/702	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Feb%202021%2002:09:54%20GMT	https://prestigecity-sarjapur.in/app.css	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/app.css	(from https://prestigecity-sarjapur.in/)
18:45:39	140930/140930	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:05%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.1.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Prestige/maxcdn.bootstrapcdn.com/bootstrap/4.1.1/css/bootstrap.min.css	(from https://prestigecity-sarjapur.in/)
18:45:41	70682/70682	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:05%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Prestige/stackpath.bootstrapcdn.com/bootstrap/4.1.1/js/bootstrap.bundle.min.js	(from https://prestigecity-sarjapur.in/)
18:45:43	54456/54456	---MCZ	200	added ('OK')	text/css	etag:W/%227b1d7f457d056ace7b230b587b9f3753%22	https://use.fontawesome.com/releases/v5.7.2/css/all.css	C:/My%20Web%20Sites/Prestige/use.fontawesome.com/releases/v5.7.2/css/all.css	(from https://prestigecity-sarjapur.in/)
18:45:45	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/Prestige/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://prestigecity-sarjapur.in/)
